period,current,average,efficient
2024-03-29 12:30:00,0.144,,
2024-03-29 13:00:00,0.137,,
2024-03-29 13:30:00,0.132,,
2024-03-29 14:00:00,0.131,,
2024-03-29 14:30:00,0.149,,
2024-03-29 15:00:00,0.162,,
2024-03-29 15:30:00,0.15,,
2024-03-29 16:00:00,0.14,,
2024-03-29 16:30:00,0.153,,
2024-03-29 17:00:00,0.143,,
2024-03-29 17:30:00,0.149,,
2024-03-29 18:00:00,0.378,,
2024-03-29 18:30:00,0.169,,
2024-03-29 19:00:00,0.179,,
2024-03-29 19:30:00,0.184,,
2024-03-29 20:00:00,0.213,,
2024-03-29 20:30:00,0.243,,
2024-03-29 21:00:00,0.175,,
2024-03-29 21:30:00,0.165,,
2024-03-29 22:00:00,0.814,,
2024-03-29 22:30:00,0.175,,
2024-03-29 23:00:00,0.593,,
2024-03-29 23:30:00,2.206,,
2024-03-28 00:00:00,0.168,,
2024-03-28 00:30:00,0.252,,
2024-03-28 01:00:00,0.26,,
2024-03-28 01:30:00,0.202,,
2024-03-28 02:00:00,0.21,,
2024-03-28 02:30:00,0.221,,
2024-03-28 03:00:00,0.217,,
2024-03-28 03:30:00,0.215,,
2024-03-28 04:00:00,0.212,,
2024-03-28 04:30:00,0.201,,
2024-03-28 05:00:00,0.197,,
2024-03-28 05:30:00,0.195,,
2024-03-28 06:00:00,0.156,,
2024-03-28 06:30:00,0.151,,
2024-03-28 07:00:00,0.142,,
2024-03-28 07:30:00,0.143,,
2024-03-28 08:00:00,0.136,,
2024-03-28 08:30:00,0.143,,
2024-03-28 09:00:00,0.142,,
2024-03-28 09:30:00,0.15,,
2024-03-28 10:00:00,0.166,,
2024-03-28 10:30:00,0.209,,
2024-03-28 11:00:00,0.172,,
2024-03-28 11:30:00,0.141,,
2024-03-28 12:00:00,0.856,,
2024-03-28 12:30:00,0.81,,
2024-03-28 13:00:00,0.137,,
2024-03-28 13:30:00,0.112,,
2024-03-28 14:00:00,0.12,,
2024-03-28 14:30:00,0.094,,
2024-03-28 15:00:00,0.104,,
2024-03-28 15:30:00,0.122,,
2024-03-28 16:00:00,0.121,,
2024-03-28 16:30:00,0.244,,
2024-03-28 17:00:00,0.088,,
2024-03-28 17:30:00,0.051,,
2024-03-28 18:00:00,0.075,,
2024-03-28 18:30:00,0.074,,
2024-03-28 19:00:00,1.226,,
2024-03-28 19:30:00,0.218,,
2024-03-28 20:00:00,0.176,,
2024-03-28 20:30:00,0.225,,
2024-03-28 21:00:00,0.528,,
2024-03-28 21:30:00,0.256,,
2024-03-28 22:00:00,0.254,,
2024-03-28 22:30:00,0.23,,
2024-03-28 23:00:00,0.244,,
2024-03-28 23:30:00,0.44,,
2024-03-27 00:00:00,0.196,,
2024-03-27 00:30:00,0.216,,
2024-03-27 01:00:00,0.191,,
2024-03-27 01:30:00,0.175,,
2024-03-27 02:00:00,0.186,,
2024-03-27 02:30:00,0.189,,
2024-03-27 03:00:00,0.181,,
2024-03-27 03:30:00,0.187,,
2024-03-27 04:00:00,0.152,,
2024-03-27 04:30:00,0.166,,
2024-03-27 05:00:00,0.166,,
2024-03-27 05:30:00,0.14,,
2024-03-27 06:00:00,0.175,,
2024-03-27 06:30:00,0.226,,
2024-03-27 07:00:00,0.14,,
2024-03-27 07:30:00,0.14,,
2024-03-27 08:00:00,0.134,,
2024-03-27 08:30:00,0.129,,
2024-03-27 09:00:00,0.128,,
2024-03-27 09:30:00,0.126,,
2024-03-27 10:00:00,0.089,,
2024-03-27 10:30:00,0.138,,
2024-03-27 11:00:00,0.129,,
2024-03-27 11:30:00,0.127,,
2024-03-27 12:00:00,0.192,,
2024-03-27 12:30:00,1.366,,
2024-03-27 13:00:00,0.147,,
2024-03-27 13:30:00,0.141,,
2024-03-27 14:00:00,0.141,,
2024-03-27 14:30:00,0.134,,
2024-03-27 15:00:00,0.312,,
2024-03-27 15:30:00,0.553,,
2024-03-27 16:00:00,0.112,,
2024-03-27 16:30:00,0.814,,
2024-03-27 17:00:00,0.135,,
2024-03-27 17:30:00,0.112,,
2024-03-27 18:00:00,0.11,,
2024-03-27 18:30:00,0.109,,
2024-03-27 19:00:00,0.139,,
2024-03-27 19:30:00,0.977,,
2024-03-27 20:00:00,1.308,,
2024-03-27 20:30:00,0.17,,
2024-03-27 21:00:00,0.151,,
2024-03-27 21:30:00,0.156,,
2024-03-27 22:00:00,0.2,,
2024-03-27 22:30:00,0.213,,
2024-03-27 23:00:00,0.204,,
2024-03-27 23:30:00,0.177,,
2024-03-26 00:00:00,0.943,,
2024-03-26 00:30:00,0.206,,
2024-03-26 01:00:00,0.213,,
2024-03-26 01:30:00,0.222,,
2024-03-26 02:00:00,0.226,,
2024-03-26 02:30:00,0.222,,
2024-03-26 03:00:00,0.227,,
2024-03-26 03:30:00,0.183,,
2024-03-26 04:00:00,0.147,,
2024-03-26 04:30:00,0.157,,
2024-03-26 05:00:00,0.137,,
2024-03-26 05:30:00,0.128,,
2024-03-26 06:00:00,0.14,,
2024-03-26 06:30:00,0.142,,
2024-03-26 07:00:00,0.142,,
2024-03-26 07:30:00,0.127,,
2024-03-26 08:00:00,0.129,,
2024-03-26 08:30:00,0.141,,
2024-03-26 09:00:00,0.124,,
2024-03-26 09:30:00,0.11,,
2024-03-26 10:00:00,0.107,,
2024-03-26 10:30:00,0.209,,
2024-03-26 11:00:00,0.175,,
2024-03-26 11:30:00,0.709,,
2024-03-26 12:00:00,0.132,,
2024-03-26 12:30:00,0.151,,
2024-03-26 13:00:00,0.124,,
2024-03-26 13:30:00,0.116,,
2024-03-26 14:00:00,0.322,,
2024-03-26 14:30:00,0.413,,
2024-03-26 15:00:00,0.126,,
2024-03-26 15:30:00,0.107,,
2024-03-26 16:00:00,0.102,,
2024-03-26 16:30:00,0.106,,
2024-03-26 17:00:00,0.123,,
2024-03-26 17:30:00,0.556,,
2024-03-26 18:00:00,0.35,,
2024-03-26 18:30:00,0.489,,
2024-03-26 19:00:00,0.455,,
2024-03-26 19:30:00,0.139,,
2024-03-26 20:00:00,0.162,,
2024-03-26 20:30:00,0.248,,
2024-03-26 21:00:00,0.569,,
2024-03-26 21:30:00,0.309,,
2024-03-26 22:00:00,0.218,,
2024-03-26 22:30:00,0.186,,
2024-03-26 23:00:00,0.162,,
2024-03-26 23:30:00,0.163,,
2024-03-25 00:00:00,0.238,,
2024-03-25 00:30:00,0.227,,
2024-03-25 01:00:00,0.225,,
2024-03-25 01:30:00,0.217,,
2024-03-25 02:00:00,0.211,,
2024-03-25 02:30:00,0.222,,
2024-03-25 03:00:00,0.216,,
2024-03-25 03:30:00,0.22,,
2024-03-25 04:00:00,0.166,,
2024-03-25 04:30:00,0.15,,
2024-03-25 05:00:00,0.151,,
2024-03-25 05:30:00,0.136,,
2024-03-25 06:00:00,0.111,,
2024-03-25 06:30:00,0.129,,
2024-03-25 07:00:00,0.132,,
2024-03-25 07:30:00,0.133,,
2024-03-25 08:00:00,0.137,,
2024-03-25 08:30:00,0.143,,
2024-03-25 09:00:00,0.215,,
2024-03-25 09:30:00,0.162,,
2024-03-25 10:00:00,0.162,,
2024-03-25 10:30:00,0.157,,
2024-03-25 11:00:00,0.178,,
2024-03-25 11:30:00,0.201,,
2024-03-25 12:00:00,0.473,,
2024-03-25 12:30:00,0.189,,
2024-03-25 13:00:00,0.184,,
2024-03-25 13:30:00,0.214,,
2024-03-25 14:00:00,0.992,,
2024-03-25 14:30:00,0.164,,
2024-03-25 15:00:00,0.131,,
2024-03-25 15:30:00,0.119,,
2024-03-25 16:00:00,0.092,,
2024-03-25 16:30:00,0.133,,
2024-03-25 17:00:00,0.128,,
2024-03-25 17:30:00,0.13,,
2024-03-25 18:00:00,0.121,,
2024-03-25 18:30:00,0.116,,
2024-03-25 19:00:00,0.133,,
2024-03-25 19:30:00,0.137,,
2024-03-25 20:00:00,0.91,,
2024-03-25 20:30:00,0.144,,
2024-03-25 21:00:00,0.141,,
2024-03-25 21:30:00,0.126,,
2024-03-25 22:00:00,0.135,,
2024-03-25 22:30:00,0.48,,
2024-03-25 23:00:00,0.65,,
2024-03-25 23:30:00,0.171,,
2024-03-24 00:00:00,0.118,,
2024-03-24 00:30:00,0.099,,
2024-03-24 01:00:00,0.216,,
2024-03-24 01:30:00,0.423,,
2024-03-24 02:00:00,0.108,,
2024-03-24 02:30:00,0.139,,
2024-03-24 03:00:00,0.103,,
2024-03-24 03:30:00,0.172,,
2024-03-24 04:00:00,0.139,,
2024-03-24 04:30:00,0.134,,
2024-03-24 05:00:00,0.128,,
2024-03-24 05:30:00,0.104,,
2024-03-24 06:00:00,0.082,,
2024-03-24 06:30:00,0.1,,
2024-03-24 07:00:00,0.068,,
2024-03-24 07:30:00,0.1,,
2024-03-24 08:00:00,0.068,,
2024-03-24 08:30:00,0.363,,
2024-03-24 09:00:00,0.658,,
2024-03-24 09:30:00,0.117,,
2024-03-24 10:00:00,0.125,,
2024-03-24 10:30:00,0.127,,
2024-03-24 11:00:00,0.081,,
2024-03-24 11:30:00,0.136,,
2024-03-24 12:00:00,0.105,,
2024-03-24 12:30:00,0.165,,
2024-03-24 13:00:00,0.15,,
2024-03-24 13:30:00,0.171,,
2024-03-24 14:00:00,0.16,,
2024-03-24 14:30:00,0.162,,
2024-03-24 15:00:00,1.66,,
2024-03-24 15:30:00,0.402,,
2024-03-24 16:00:00,0.166,,
2024-03-24 16:30:00,0.156,,
2024-03-24 17:00:00,0.151,,
2024-03-24 17:30:00,0.659,,
2024-03-24 18:00:00,0.484,,
